"","folder","ess_likelihood","tree","best_or_gen"
"389","data/0.2-0-0.5-0.15/338",901,"true","gen"
"390","data/0.2-0-0.5-0.15/338",901,"true","best"
"391","data/0.2-0-0.5-0.15/338",809,"twin","gen"
"392","data/0.2-0-0.5-0.15/338",734,"twin","best"
"393","data/0.2-0-0.5-0.15/339",901,"true","gen"
"394","data/0.2-0-0.5-0.15/339",901,"true","best"
"395","data/0.2-0-0.5-0.15/339",157,"twin","gen"
"396","data/0.2-0-0.5-0.15/339",782,"twin","best"
"397","data/0.2-0-0.5-0.15/340",743,"true","gen"
"398","data/0.2-0-0.5-0.15/340",696,"true","best"
"399","data/0.2-0-0.5-0.15/340",773,"twin","gen"
"400","data/0.2-0-0.5-0.15/340",740,"twin","best"
"401","data/0.2-0-0.5-0.15/341",889,"true","gen"
"402","data/0.2-0-0.5-0.15/341",589,"true","best"
"403","data/0.2-0-0.5-0.15/341",892,"twin","gen"
"404","data/0.2-0-0.5-0.15/341",901,"twin","best"
"405","data/0.2-0-0.5-0.15/342",857,"true","gen"
"406","data/0.2-0-0.5-0.15/342",844,"true","best"
"407","data/0.2-0-0.5-0.15/342",901,"twin","gen"
"408","data/0.2-0-0.5-0.15/342",901,"twin","best"
"409","data/0.2-0-0.5-0.15/343",901,"true","gen"
"410","data/0.2-0-0.5-0.15/343",769,"true","best"
"411","data/0.2-0-0.5-0.15/343",901,"twin","gen"
"412","data/0.2-0-0.5-0.15/343",820,"twin","best"
"413","data/0.2-0-0.5-0.15/344",873,"true","gen"
"414","data/0.2-0-0.5-0.15/344",717,"true","best"
"415","data/0.2-0-0.5-0.15/344",901,"twin","gen"
"416","data/0.2-0-0.5-0.15/344",790,"twin","best"
"417","data/0.2-0-0.5-0.15/345",729,"true","gen"
"418","data/0.2-0-0.5-0.15/345",779,"true","best"
"419","data/0.2-0-0.5-0.15/345",901,"twin","gen"
"420","data/0.2-0-0.5-0.15/345",901,"twin","best"
"421","data/0.2-0-0.5-0.15/346",777,"true","gen"
"422","data/0.2-0-0.5-0.15/346",898,"true","best"
"423","data/0.2-0-0.5-0.15/346",5,"twin","gen"
"424","data/0.2-0-0.5-0.15/346",819,"twin","best"
"425","data/0.2-0-0.5-0.15/347",622,"true","gen"
"426","data/0.2-0-0.5-0.15/347",901,"true","best"
"427","data/0.2-0-0.5-0.15/347",756,"twin","gen"
"428","data/0.2-0-0.5-0.15/347",901,"twin","best"
"429","data/0.2-0-0.5-0.15/348",901,"true","gen"
"430","data/0.2-0-0.5-0.15/348",901,"true","best"
"431","data/0.2-0-0.5-0.15/348",656,"twin","gen"
"432","data/0.2-0-0.5-0.15/348",875,"twin","best"
"433","data/0.2-0-0.5-0.15/349",901,"true","gen"
"434","data/0.2-0-0.5-0.15/349",901,"true","best"
"435","data/0.2-0-0.5-0.15/349",901,"twin","gen"
"436","data/0.2-0-0.5-0.15/349",784,"twin","best"
"437","data/0.2-0-0.5-0.15/350",742,"true","gen"
"438","data/0.2-0-0.5-0.15/350",639,"true","best"
"439","data/0.2-0-0.5-0.15/350",809,"twin","gen"
"440","data/0.2-0-0.5-0.15/350",669,"twin","best"
"441","data/0.2-0-0.5-0.15/351",901,"true","gen"
"442","data/0.2-0-0.5-0.15/351",668,"true","best"
"443","data/0.2-0-0.5-0.15/351",901,"twin","gen"
"444","data/0.2-0-0.5-0.15/351",609,"twin","best"
"445","data/0.2-0-0.5-0.15/352",849,"true","gen"
"446","data/0.2-0-0.5-0.15/352",866,"true","best"
"447","data/0.2-0-0.5-0.15/352",729,"twin","gen"
"448","data/0.2-0-0.5-0.15/352",656,"twin","best"
"449","data/0.2-0-0.5-0.15/353",798,"true","gen"
"450","data/0.2-0-0.5-0.15/353",901,"true","best"
"451","data/0.2-0-0.5-0.15/353",901,"twin","gen"
"452","data/0.2-0-0.5-0.15/353",778,"twin","best"
"453","data/0.2-0-0.5-0.15/354",694,"true","gen"
"454","data/0.2-0-0.5-0.15/354",841,"true","best"
"455","data/0.2-0-0.5-0.15/354",872,"twin","gen"
"456","data/0.2-0-0.5-0.15/354",863,"twin","best"
"457","data/0.2-0-0.5-0.15/355",901,"true","gen"
"458","data/0.2-0-0.5-0.15/355",864,"true","best"
"459","data/0.2-0-0.5-0.15/355",901,"twin","gen"
"460","data/0.2-0-0.5-0.15/355",508,"twin","best"
